  ,,,,,,,,
,,,,,,,,
Timezones:,ATC,NAN,Nain,,Qualification:,,0,No event identified
,EDT,CDR,Cape Dorset,,,,1,Event is possible but not signifigantly clear
,,CRV,Clyde River,,,,2,Event is identified
,,CHB,Coral Harbour,,,,3,"Event is identified but also has a sharp change, "
,,IGL,Igloolik,,,,,"large amplitude, and notable structure"
,,PGG,Pangirtung,,,,,
,CDT,RBY,Repulse Bay,,Ebre,,> Data of the observatories have been obtained from INTERMAGNET source.,
,MDT,GJO,Gjoa Haven,,Acknowledgements,,  We thank the national institutes that support them and INTERMAGNET for promoting,
,,PBY,Pelly Bay,,,,  high standards of magnetic observatory practice. (www.intermagnet.org),
,,,,,,,,
,,,,,,,,
YEAR,DATE (UTC),TIME (UTC),DATE/TIME (UTC),TYPE,QUALIFICATION,,,
2014,6/7/2014,16:52,6/7/2014 16:52,SSC,2 2 2 2 2,,,
2014,6/23/2014,8:07,6/23/2014 8:07,SI,2 2 2 2 2,,,
2014,7/14/2014,14:31,7/14/2014 14:31,SI,2 2 2 2 2,,,
2014,8/19/2014,6:57,8/19/2014 6:57,SI,0 0 1 1 1,,,
2014,9/6/2014,15:23,9/6/2014 15:23,SI,0 0 1 1 1,,,
2014,9/11/2014,23:44,9/11/2014 23:44,SSC,2 2 2 2 2,,,
2014,9/12/2014,15:54,9/12/2014 15:54,SSC,2 2 2 2 2,,,
2014,11/1/2014,7:05,11/1/2014 7:05,SI,1 1 1 1 1,,,
2014,11/10/2014,2:20,11/10/2014 2:20,SSC,1 2 2 1 1,,,
2014,12/21/2014,19:11,12/21/2014 19:11,SSC,2 0 0 1 2,,,
2014,12/22/2014,15:10,12/22/2014 15:10,SI,1 2 2 2 2,,,
2014,12/23/2014,11:14,12/23/2014 11:14,SI,2 2 3 3 3,,,
,,,,,,,,
2015,1/7/2015,6:16,1/7/2015 6:16,SSC,2 2 2 1 2,,,
2015,1/26/2015,8:34,1/26/2015 8:34,SI,1 0 1 1 1,,,
2015,3/17/2015,4:45,3/17/2015 4:45,SSC,3 3 3 3 3,,,
2015,3/31/2015,8:32,3/31/2015 8:32,SI,2 0 2 2 1,,,
2015,5/6/2015,1:42,5/6/2015 1:42,SSC,2 2 2 1 1,,,
2015,6/12/2015,13:06,6/12/2015 13:06,SI,2 0 2 1 1,,,
2015,6/21/2015,16:44,6/21/2015 16:44,SSC,2 2 2 2 2,,,
2015,6/22/2015,5:44,6/22/2015 5:44,SSC,2 2 2 1 2,,,
2015,6/22/2015,18:33,6/22/2015 18:33,SSC,3 3 3 3 3,,,
2015,8/15/2015,8:29,8/15/2015 8:29,SSC,2 2 2 2 2,,,
2015,9/20/2015,6:04,9/20/2015 6:04,SSC,2 2 2 1 1 ,,,
2015,10/24/2015,18:54,10/24/2015 18:54,SI,2 2 2 2 2,,,
2015,11/3/2015,1:34,11/3/2015 1:34,SSC,1 0 1 1 2,,,
2015,11/6/2015,18:18,11/6/2015 18:18,SSC,2 2 2 2 2,,,
2015,12/14/2015,13:21,12/14/2015 13:21,SSC,1 0 1 1 1,,,
2015,12/19/2015,16:16,12/19/2015 16:16,SSC,2 2 2 2 2,,,
2015,12/31/2015,0:49,12/31/2015 0:49,SSC,1 2 2 2 0,,,
,,,,,,,,
